 馬名,Ｃ,性齢,状態,厩舎,着度数,収得賞金,種牡馬,母名,馬主,生産者,生産地,馬記号,生年,誕生日,血統登録番号,取引価格,馬名の意味由来,欧字馬名
ウェルブレッド,,牡2,不在,(美)加藤征弘, 0- 0- 0- 0,0,ディープインパクト,アドアード,サンデーレーシング,社台コーポレーション白老ファーム,白老町,,2012,2月16日,2012104056,,育ちのいい、上品な,"Well Bred"
アルーリングトーン,,牡2,不在,(栗)西園正都, 0- 0- 0- 0,0,フレンチデピュティ,アルーリングアクト,サンデーレーシング,社台コーポレーション白老ファーム,白老町,,2012,2月14日,2012104058,,誘惑的な口調,"Alluring Tone"
ブレイクエース,谷,牡2,在厩,(美)戸田博文, 0- 0- 0- 0,0,キングカメハメハ,キュー,キャロットファーム,社台コーポレーション白老ファーム,白老町,,2012,2月16日,2012104064,,ナインボールのブレイクで９番ボールのみが入ること。母名より連想,"Break Ace"
アルバートドック,,牡2,不在,(栗)松田博資, 0- 0- 0- 0,0,ディープインパクト,ゴールデンドックエー,G1レーシング,社台コーポレーション白老ファーム,白老町,,2012,1月21日,2012104069,,イギリス港湾都市リバプールにあるウォーターフロント地区,"Albert Dock"
ルートヴィヒコード,,牡2,不在,(栗)長浜博之, 0- 0- 0- 0,0,ディープインパクト,リトルハーモニー,G1レーシング,社台コーポレーション白老ファーム,白老町,,2012,2月17日,2012104082,,ルートヴィヒ（ベートーベンのファーストネーム）＋暗号・譜面,"Ludwig Code"
ワールドリースター,小,牡2,不在,(栗)松田博資, 0- 0- 0- 0,0,"Admire Don",ワールドリープレジャー,サンデーレーシング,社台コーポレーション白老ファーム,白老町,,2012,3月3日,2012104087,,地上の星,"Worldly Star"
ショコラブラン,,牡2,不在,(栗)浅見秀一, 0- 0- 0- 0,0,クロフネ,アグネスショコラ,社台レースホース,社台ファーム,千歳市,,2012,3月21日,2012104108,,白いチョコレート（仏）,"Chocolat Blanc"
キジャナ,,牡2,不在,(美)尾形充弘, 0- 0- 0- 0,0,ハーツクライ,アグネスチーアフル,社台レースホース,社台ファーム,千歳市,,2012,3月27日,2012104111,,青年（スワヒリ語）,Kijana
ロングスピーク,,牡2,不在,(栗)荒川義之, 0- 0- 0- 0,0,ハーツクライ,アルヴァーダ,社台レースホース,社台ファーム,千歳市,,2012,1月15日,2012104125,,アルヴァーダ自治都市のあるコロラド州のロッキー山系の山の一つ,"Longs Peak"
アルダントロアー,,牡2,不在,(美)栗田博憲, 0- 0- 0- 0,0,ファルブラヴ,アルダントヌイ,吉田照哉,社台ファーム,千歳市,,2012,3月27日,2012104127,,母名の一部＋咆哮,"Ardente Roar"
ロウアンドロウ,,牡2,在厩,(栗)加用正, 0- 0- 0- 0,0,ゼンノロブロイ,ウォートルベリー,谷掛龍夫,社台ファーム,千歳市,,2012,4月22日,2012104144,4095万円,漕いで漕いで。「黒の舟唄」より,"Row and Row"
オメガタックスマン,,牡2,在厩,(栗)今野貞一, 0- 1- 0- 0,0,ショウナンカンプ,オメガフォーチュン,原礼子,社台ファーム,千歳市,,2012,2月12日,2012104172,,冠名＋徴税人,"Omega Taxman"
キッズライトオン,,牡2,在厩,(栗)田所秀孝, 1- 0- 0- 0,400,スニッツェル,オンシジューム,瀬谷隆雄,社台コーポレーション白老ファーム,白老町,,2012,1月24日,2012104181,630万円,冠名＋灯りをともす,"Kids Light On"
ワイドリーザワン,,牡2,不在,(美)勢司和浩, 0- 0- 0- 0,0,キングカメハメハ,キャッチザゴールド,坂本浩一,社台コーポレーション白老ファーム,白老町,,2012,2月14日,2012104192,3465万円,広く一番,"Widely the One"
ジュンファイトクン,,牡2,在厩,(美)勢司和浩, 0- 0- 0- 0,0,グラスワンダー,キャニオンビュー,河合純二,社台ファーム,千歳市,,2012,3月21日,2012104194,,冠名＋ファイト＋呼称,"Jun Fight Kun"
サンディフック,,牡2,不在,(栗)中尾秀正, 0- 0- 0- 0,0,リンカーン,グロンシャール,吉田照哉,社台ファーム,千歳市,,2012,4月25日,2012104214,,米国で現役最古の灯台,"Sandy Hook"
ナリノパシオン,,牡2,在厩,(美)上原博之, 0- 0- 0- 0,0,グラスワンダー,ココナッツパルム,成塚清志,社台ファーム,千歳市,,2012,3月20日,2012104216,1785万円,馬主名より＋情熱（仏）,"Narino Passion"
ジェネラルゴジップ,,牡2,不在,(栗)平田修, 0- 0- 0- 0,0,ディープインパクト,ゴジップガール,社台レースホース,社台ファーム,千歳市,,2012,4月20日,2012104220,,ゴジップ将軍,"General Gozzip"
シュバリエブラン,,牡2,在厩,(栗)庄野靖志, 0- 0- 0- 0,0,チチカステナンゴ,ジャドール,"Viridian Keiba Club",社台ファーム,千歳市,,2012,3月20日,2012104252,1470万円,白騎士（仏）。父、母名より連想,"Chevalier Blanc"
スモークフリー,,牡2,不在,(美)戸田博文, 0- 0- 0- 0,0,ディープインパクト,スモークンフローリック,社台レースホース,社台ファーム,千歳市,,2012,2月13日,2012104268,,煙から解放される,"Smoke Free"
スクリーンショット,,牡2,在厩,(美)水野貴広, 0- 0- 0- 0,0,スクリーンヒーロー,ソングフォーミー,桑畑隆信,社台ファーム,千歳市,,2012,2月15日,2012104274,1470万円,父名の一部＋ショット,"Screen Shot"
キーフォーサクセス,,牡2,不在,(美)田中剛, 0- 0- 0- 0,0,キングカメハメハ,ダンスパートナー,社台レースホース,社台ファーム,千歳市,,2012,5月5日,2012104289,,成功への鍵,"Key for Success"
レクスターズ,,牡2,不在,(美)高橋文雅, 0- 0- 0- 0,0,スニッツェル,ディソサード,吉田照哉,社台ファーム,千歳市,,2012,3月5日,2012104302,,夢見心地（仏）,L'Extase
ダイワエクシード,,牡2,不在,(美)上原博之, 0- 0- 0- 0,0,ダイワメジャー,トゥースペシャル,大城敬三,社台ファーム,千歳市,,2012,3月17日,2012104304,2625万円,冠名＋他者に勝る,"Daiwa Exceed"
ハイエストシルバー,,牡2,不在,(栗)岡田稲男, 0- 0- 0- 0,0,シンボリクリスエス,ハイエストホワイト,社台レースホース,社台ファーム,千歳市,,2012,3月26日,2012104318,,最高の銀,"Highest Silver"
サンセットビーチ,,牡2,不在,(栗)加用正, 0- 0- 0- 0,0,ステイゴールド,ビーチアイドル,社台レースホース,社台ファーム,千歳市,,2012,2月26日,2012104341,,夕暮れの浜辺,"Sunset Beach"
クロイツェル,,牡2,不在,(栗)須貝尚介, 0- 0- 0- 0,0,マンハッタンカフェ,ファーストバイオリン,社台レースホース,社台ファーム,千歳市,,2012,4月12日,2012104350,,ベートーヴェンの有名なバイオリンソナタ,Kreutzer
ブギーナイツ,,牡2,不在,(栗)角田晃一, 0- 0- 0- 0,0,ゼンノロブロイ,フィールグルービー,吉田照哉,社台ファーム,千歳市,,2012,5月12日,2012104352,,心躍る夜,"Boogie Nights"
パルファンデュロワ,,牡2,不在,(栗)西園正都, 0- 0- 0- 0,0,キングカメハメハ,ブーケフレグランス,社台レースホース,社台ファーム,千歳市,,2012,3月11日,2012104373,,王様の香り（仏）,"Parfum du Roi"
フィールドリアン,,牡2,在厩,(栗)西園正都, 0- 0- 0- 0,0,ゴールドアリュール,プラジェラート,地田勝三,社台ファーム,千歳市,,2012,3月28日,2012104376,2205万円,冠名＋絆（仏）,"Field Lien"
マンハッタンキング,,牡2,不在,(栗)石坂正, 0- 0- 0- 0,0,キングカメハメハ,マンハッタンフィズ,社台レースホース,社台ファーム,千歳市,,2012,2月2日,2012104419,,マンハッタンの王,"Manhattan King"
キングズアフェアー,,牡2,不在,(栗)松田国英, 0- 0- 0- 0,0,キングカメハメハ,ミスティックリバー,吉田照哉,社台ファーム,千歳市,,2012,3月30日,2012104423,,国王の執務事項,"King's Affair"
ミスティーフリップ,,牡2,不在,(栗)笹田和秀, 0- 0- 0- 0,0,ゼンノロブロイ,ミセススノー,吉田照哉,社台コーポレーション白老ファーム,白老町,,2012,1月31日,2012104426,,スノーボードにおける難易度の高い技術の一つ,"Misty Flip"
リガードリング,,牡2,不在,(美)高木登, 0- 0- 0- 0,0,マンハッタンカフェ,ミルグレイン,G1レーシング,社台ファーム,千歳市,,2012,4月3日,2012104434,,色石の集合リング,"Regard Ring"
ダイワコンプリート,,牡2,不在,(美)上原博之, 0- 0- 0- 0,0,ダイワメジャー,ラスリングカプス,大城敬三,社台ファーム,千歳市,,2012,3月11日,2012104453,,冠名＋全部そろった,"Daiwa Complete"
アンジェロビアンコ,,牡2,在厩,(美)鈴木伸尋, 0- 0- 0- 0,0,スウェプトオーヴァーボード,ラブフォーエバー,吉田照哉,社台ファーム,千歳市,,2012,5月9日,2012104458,,白い天使（伊）,"Angelo Bianco"
バイオンディップス,,牡2,在厩,(美)小島茂之, 0- 0- 0- 0,0,マンハッタンカフェ,リトルディッパー,丸山担,社台ファーム,千歳市,,2012,3月26日,2012104466,2730万円,押し目買い,"Buy on Dips"
テキスタイルアート,,牡2,不在,(美)和田正一, 0- 0- 0- 0,0,ロージズインメイ,リバティープリント,吉田照哉,社台ファーム,千歳市,,2012,4月2日,2012104467,,織物工芸,"Textile Art"
エッケザックス,,牡2,在厩,(美)鹿戸雄一, 0- 0- 0- 0,0,デュランダル,リーチマイハーバー,社台レースホース,社台ファーム,千歳市,,2012,5月9日,2012104471,,北欧神話に登場する剣,Eckesachs
ロックフォール,,牡2,在厩,(美)田中剛, 0- 0- 0- 1,0,マンハッタンカフェ,レイクサイドカップ,四本昭弘,社台ファーム,千歳市,,2012,3月12日,2012104476,1995万円,世界三大ブルーチーズの一つ,Roquefort
マイネルオフィール,,牡2,在厩,(栗)飯田雄三, 0- 0- 0- 0,0,ゴールドアリュール,アガルタ,サラブレッドクラブ・ラフィアン,ノーザンファーム,安平町,,2012,4月17日,2012104504,1522.5万円,冠名＋旧約聖書に出てくる黄金郷,"Meiner Ophir"
アドマイヤスカイ,,牡2,不在,(栗)橋田満, 0- 0- 0- 0,0,ディープインパクト,アドマイヤカンナ,近藤利一,ノーザンファーム,安平町,,2012,1月26日,2012104509,,冠名＋空,"Admire Sky"
アドマイヤスター,,牡2,不在,(栗)友道康夫, 0- 0- 0- 0,0,ディープインパクト,アドマイヤマリン,近藤利一,ノーザンファーム,安平町,,2012,2月25日,2012104517,,冠名＋スター,"Admire Star"
プラパジシャン,芳,牡2,不在,(美)萩原清, 0- 0- 0- 0,0,ステイゴールド,アビラ,池谷誠一,ノーザンファーム,安平町,,2012,3月5日,2012104521,4200万円,命題,Proposition
フェイマスワーズ,,牡2,不在,(栗)中尾秀正, 0- 0- 0- 0,0,ジャングルポケット,アンソロジー,サンデーレーシング,ノーザンファーム,安平町,,2012,4月8日,2012104527,,名言集,"Famous Words"
ロスプーマス,,牡2,不在,(美)田中剛, 0- 0- 0- 0,0,メイショウサムソン,ウシュアイア,吉田勝己,ノーザンファーム,安平町,,2012,4月14日,2012104544,,ラグビーアルゼンチン代表の愛称,"Los Pumas"
モンドアルジェンテ,,牡2,不在,(美)萩原清, 0- 0- 0- 0,0,クロフネ,エイグレット,サンデーレーシング,ノーザンファーム,安平町,,2012,3月7日,2012104556,,銀世界（仏）,"Monde Argente"
オーロラポラリス,,牡2,不在,(栗)沖芳夫, 0- 0- 0- 0,0,メイショウサムソン,オーロラナイト,サンデーレーシング,ノーザンファーム,安平町,,2012,2月7日,2012104572,,極光,"Aurora Polaris"
デバイスドライバー,,牡2,在厩,(美)宗像義忠, 0- 0- 0- 0,0,ハーツクライ,カツラドライバー,薗部博之,ノーザンファーム,安平町,,2012,2月19日,2012104575,3570万円,周辺機器をパソコンで利用するためのソフトウェア,"Device Driver"
ジュンカイトー,,牡2,在厩,(美)勢司和浩, 0- 0- 0- 0,0,ダイワメジャー,ガバーナ,河合純二,ノーザンファーム,安平町,,2012,3月15日,2012104586,2730万円,馬主名より＋家族名より,"Jun Kaito"
リアファル,,牡2,不在,(栗)音無秀孝, 0- 0- 0- 0,0,ゼンノロブロイ,クリソプレーズ,キャロットファーム,ノーザンファーム,安平町,,2012,2月5日,2012104598,,戴冠石。ケルト神話、ダーナ神族に登場するエリンの四秘宝のひとつ,"Lia Fail"
デューテリウム,,牡2,不在,(美)加藤和宏, 0- 0- 0- 0,0,ゴールドアリュール,クルナコーヴァ,池谷誠一,ノーザンファーム,安平町,,2012,2月9日,2012104600,1155万円,重水素,Deuterium
バルデラマ,,牡2,不在,(美)栗田博憲, 0- 0- 0- 0,0,ダイワメジャー,クルンプホルツ,サンデーレーシング,社台コーポレーション白老ファーム,白老町,,2012,3月16日,2012104601,,人名より,Valderrama
アドマイヤゴッド,,牡2,在厩,(栗)須貝尚介, 0- 0- 0- 0,0,ハーツクライ,クレヴァリー,近藤利一,ノーザンファーム,安平町,,2012,4月22日,2012104602,2730万円,冠名＋神,"Admire God"
アドマイヤホーク,,牡2,不在,(栗)梅田智之, 0- 0- 0- 0,0,ハービンジャー,グランプリソフィ,近藤利一,ノーザンファーム,安平町,,2012,3月28日,2012104608,2835万円,冠名＋鷹,"Admire Hawk"
スリーライオンズ,,牡2,不在,(美)勢司和浩, 0- 0- 0- 0,0,ハービンジャー,サンウィルシャイン,サンデーレーシング,ノーザンファーム,安平町,,2012,4月29日,2012104629,,サッカーイングランド代表の愛称,"Three Lions"
ラクロワ,,牡2,不在,(栗)高野友和, 0- 0- 0- 0,0,クロフネ,サンヴィクトワール,吉田勝己,ノーザンファーム,安平町,,2012,3月18日,2012104630,,十字架（仏）。サンヴィクトワール山頂の修道院の屋根にそびえている,"La Croix"
ブレーヴストーリー,,牡2,在厩,(栗)石坂正, 0- 0- 0- 0,0,ゼンノロブロイ,シェアザストーリー,シルク,ノーザンファーム,安平町,,2012,4月3日,2012104636,,勇敢な物語。母名より連想,"Brave Story"
インディケーション,,牡2,不在,(美)小島茂之, 0- 0- 0- 0,0,ハービンジャー,シャルロットノアル,サンデーレーシング,ノーザンファーム,安平町,,2012,2月21日,2012104641,,前兆,Indication
アダムスブリッジ,,牡2,不在,(栗)石坂正, 0- 0- 0- 0,0,ゼンノロブロイ,シンハリーズ,キャロットファーム,ノーザンファーム,安平町,,2012,4月21日,2012104652,,ポーク海峡にある石灰岩の砂州と浅瀬の連なり。母、兄名より連想,"Adam's Bridge"
クローディオ,和,牡2,不在,(栗)石坂正, 0- 0- 0- 0,0,ハービンジャー,シーザリオ,キャロットファーム,ノーザンファーム,安平町,,2012,2月8日,2012104657,,シェイクスピア作「空騒ぎ」の登場人物名より。母名より連想,Claudio
アドマイヤロワ,,牡2,在厩,(栗)橋田満, 0- 0- 0- 0,0,ディープインパクト,シーズオールエルティッシュ,近藤利一,ノーザンファーム,安平町,,2012,4月9日,2012104661,18900万円,冠名＋王様（仏）,"Admire Roi"
アドマイヤジャズ,,牡2,不在,(栗)友道康夫, 0- 0- 0- 0,0,タニノギムレット,ジュピターズジャズ,近藤利一,ノーザンファーム,安平町,,2012,3月18日,2012104667,5460万円,冠名＋母名の一部,"Admire Jazz"
アドマイヤゼン,,牡2,不在,(栗)中尾秀正, 0- 0- 0- 0,0,クロフネ,スカイクレイバー,近藤利一,ノーザンファーム,安平町,,2012,2月22日,2012104670,2835万円,冠名＋その時,"Admire Then"
レッドアルティスタ,,牡2,不在,(栗)松田博資, 0- 0- 0- 0,0,ステイゴールド,スタイルリスティック,東京ホースレーシング,ノーザンファーム,安平町,,2012,5月12日,2012104675,,冠名＋芸術家（伊）。華麗な走りで観る者すべてを魅了する,"Red Artista"
キングカヌヌ,小,牡2,在厩,(栗)石坂正, 0- 0- 0- 0,0,キングカメハメハ,スターダムバウンド,サンデーレーシング,ノーザンファーム,安平町,,2012,5月1日,2012104676,,父名の一部＋力強い（ハワイ語）,"King Kanunu"
ドリームチェイサー,谷,牡2,不在,(栗)浅見秀一, 0- 0- 0- 0,0,ハービンジャー,スペシャルグルーヴ,三田昌宏,ノーザンファーム,安平町,,2012,2月10日,2012104688,4830万円,夢を追う者,"Dream Chaser"
チャビアール,,牡2,不在,(美)栗田徹, 0- 0- 0- 0,0,チチカステナンゴ,セイングレンド,サンデーレーシング,ノーザンファーム,安平町,,2012,2月18日,2012104694,,チチカステナンゴの旧地名,Chaviar
ケツァルテナンゴ,,牡2,在厩,(栗)笹田和秀, 1- 0- 0- 0,400,チチカステナンゴ,ダイワオンディーヌ,G1レーシング,ノーザンファーム,安平町,,2012,5月8日,2012104708,,グアテマラ第二の都市,Quetzaltenango
サフィロス,,牡2,不在,(美)手塚貴久, 0- 1- 0- 0,0,キンシャサノキセキ,ダークサファイア,キャロットファーム,ノーザンファーム,安平町,,2012,3月24日,2012104712,,青色（ギリシャ語）。サファイアの語源。母名より連想,Sappheiros
オールマイアイ,,牡2,不在,(栗)藤岡健一, 0- 0- 0- 0,0,ハービンジャー,テイクワンズアイ,吉田勝己,ノーザンファーム,安平町,,2012,2月25日,2012104718,,とんでもない、まさか,"All My Eye"
サンマルティン,,牡2,不在,(美)国枝栄, 0- 0- 0- 0,0,ハービンジャー,ディアデラノビア,キャロットファーム,ノーザンファーム,安平町,,2012,3月4日,2012104723,,アルゼンチン輩出の軍人名より。南アメリカ各国を独立に導いた英雄,"San Martin"
デュアルメジャー,小,牡2,不在,(美)手塚貴久, 0- 1- 0- 0,0,ダイワメジャー,デュアルストーリー,サンデーレーシング,ノーザンファーム,安平町,,2012,2月24日,2012104730,,二つからなる一流,"Dual Major"
モンセラー,,牡2,在厩,(美)和田正道, 0- 0- 0- 0,0,タニノギムレット,トップセラー,サンデーレーシング,ノーザンファーム,安平町,,2012,2月17日,2012104739,,バルセロナ郊外にあるノコギリ形の山の名。キリスト教の聖地,Montserrat
アドマイヤドラゴン,,牡2,在厩,(美)上原博之, 0- 0- 0- 0,0,ゼンノロブロイ,ドゥルセデレーチェ,近藤利一,ノーザンファーム,安平町,,2012,4月15日,2012104745,2835万円,冠名＋竜,"Admire Dragon"
ナイトディグニティ,,牡2,在厩,(栗)荒川義之, 0- 0- 0- 0,0,チチカステナンゴ,ナイトアットオペラ,サンデーレーシング,ノーザンファーム,安平町,,2012,3月7日,2012104752,,騎士の威厳,"Knight Dignity"
レントラー,,牡2,在厩,(栗)松永昌博, 0- 0- 0- 0,0,ハーツクライ,ハートビートワルツ,キャロットファーム,ノーザンファーム,安平町,,2012,2月14日,2012104761,,ワルツの起源でもある３／４拍子の南ドイツの民族舞踊。母名より連想,Landler
ジュンツバサ,,牡2,不在,(美)勢司和浩, 0- 0- 0- 0,0,ステイゴールド,ピンクガーター,河合純二,ノーザンファーム,安平町,,2012,4月15日,2012104777,6930万円,馬主名より＋家族名より,"Jun Tsubasa"
プレシャスルージュ,,牡2,在厩,(栗)音無秀孝, 0- 0- 0- 0,0,キングカメハメハ,フィロンルージュ,シルク,ノーザンファーム,安平町,,2012,2月17日,2012104783,,愛しい＋母名の一部,"Precious Rouge"
グランカマラード,,牡2,不在,(栗)庄野靖志, 1- 0- 0- 0,400,ダイワメジャー,フォーント,田畑憲士,ノーザンファーム,安平町,,2012,2月7日,2012104788,2047.5万円,偉大な（仏）＋仲間（仏）,"Grand Camarade"
ジュンスパーヒカル,,牡2,不在,(栗)友道康夫, 0- 0- 0- 0,0,ファルブラヴ,フラッシュウェーブ,河合純二,ノーザンファーム,安平町,,2012,5月13日,2012104792,1365万円,馬主名より＋Ｓｕｐｅｒより＋家族名より,"Jun Super Hikaru"
ポトマックリバー,,牡2,在厩,(美)戸田博文, 0- 0- 0- 0,0,ハービンジャー,フロールデセレッソ,吉田勝己,ノーザンファーム,安平町,,2012,3月17日,2012104798,,河畔に桜の名所があるアメリカの河川名,"Potomac River"
ブライトエンブレム,,牡2,在厩,(美)小島茂之, 1- 0- 0- 0,400,ネオユニヴァース,ブラックエンブレム,シルク,ノーザンファーム,安平町,,2012,4月6日,2012104799,,輝く証,"Bright Emblem"
ロジチャリス,,牡2,在厩,(美)国枝栄, 0- 1- 0- 0,0,ダイワメジャー,プラチナチャリス,久米田正明,ノーザンファーム,安平町,,2012,2月11日,2012104808,2730万円,冠名＋母名の一部,"Logi Chalice"
パヴォーネ,,牡2,不在,(美)萩原清, 0- 0- 0- 0,0,シンボリクリスエス,プリンセスミラクル,サンデーレーシング,ノーザンファーム,安平町,,2012,3月1日,2012104812,,孔雀（伊）,Pavone
ブリクスト,,牡2,在厩,(栗)吉田直弘, 0- 0- 0- 0,0,チチカステナンゴ,プロミストスパーク,サンデーレーシング,ノーザンファーム,安平町,,2012,3月8日,2012104814,,稲妻（スウェーデン語）,Blixt
ベルラップ,小,牡2,在厩,(栗)須貝尚介, 1- 0- 0- 1,400,ハーツクライ,ベルスリーブ,サンデーレーシング,ノーザンファーム,安平町,,2012,3月9日,2012104823,,最終周回,"Bell Lap"
シーサイドジャズ,,牡2,不在,(美)萩原清, 0- 0- 0- 0,0,クロフネ,ポップコーンジャズ,金子真人ホールディングス,ノーザンファーム,安平町,,2012,1月30日,2012104829,,海辺のジャズ,"Seaside Jazz"
ポルトドートウィユ,谷,牡2,不在,(栗)高野友和, 0- 1- 0- 0,0,ディープインパクト,ポルトフィーノ,サンデーレーシング,ノーザンファーム,安平町,,2012,3月19日,2012104833,,フランスにある駅名。ロンシャン競馬場へはこの駅から直通バスがでる,"Porte d'Auteuil"
ダークネブラス,,牡2,不在,(美)鹿戸雄一, 0- 0- 0- 0,0,ハーツクライ,マイベストスター,サンデーレーシング,社台コーポレーション白老ファーム,白老町,,2012,3月15日,2012104838,,暗黒星雲,"Dark Nebulas"
バルブランシュ,,牡2,不在,(美)木村哲也, 0- 0- 0- 0,0,スウェプトオーヴァーボード,マストビーラヴド,サンデーレーシング,ノーザンファーム,安平町,,2012,3月23日,2012104842,,白い弾丸（仏）,"Balle Blanche"
サーサルヴァトーレ,,牡2,在厩,(栗)音無秀孝, 0- 0- 0- 0,0,ハービンジャー,マリアヴァレリア,サンデーレーシング,ノーザンファーム,安平町,,2012,1月26日,2012104855,,マリアヴァレリアの夫でありハプスブルク家皇帝軍騎兵将軍より連想,"Sir Salvator"
アドマイヤガスト,,牡2,不在,(栗)松田博資, 0- 0- 0- 0,0,チチカステナンゴ,ムガール,近藤利一,ノーザンファーム,安平町,,2012,1月24日,2012104872,3150万円,冠名＋突風,"Admire Gust"
ルナプロスペクター,,牡2,在厩,(美)金成貴史, 0- 0- 0- 0,0,カンパニー,ムーンフェイズ,サンデーレーシング,ノーザンファーム,安平町,,2012,4月26日,2012104874,,月探査機の名,"Lunar Prospector"
フィリオドベント,,牡2,不在,(栗)岡田稲男, 0- 0- 0- 0,0,ステイゴールド,ライクザウインド,G1レーシング,ノーザンファーム,安平町,,2012,4月27日,2012104883,,風小僧（ポルトガル語）,"Filho do Vento"
ラフィングクラブ,,牡2,不在,(栗)大久保龍, 0- 0- 0- 0,0,ウォーエンブレム,ラフィンムード,吉田勝己,社台コーポレーション白老ファーム,白老町,,2012,4月25日,2012104899,,笑いクラブ,"Laughing Club"
グランシルク,,牡2,不在,(美)戸田博文, 0- 0- 0- 0,0,ステイゴールド,ルシルク,シルク,ノーザンファーム,安平町,,2012,4月8日,2012104915,,偉大な（仏）＋クラブ名より,"Grand Silk"
グランアルマダ,,牡2,不在,(栗)西園正都, 0- 0- 0- 0,0,ダイワメジャー,レディスキッパー,サンデーレーシング,ノーザンファーム,安平町,,2012,2月4日,2012104926,,スペイン無敵艦隊より,"Gran Armada"
レーヴミストラル,和,牡2,不在,(栗)松田博資, 0- 0- 0- 0,0,キングカメハメハ,レーヴドスカー,サンデーレーシング,ノーザンファーム,安平町,,2012,5月8日,2012104929,,夢（仏）＋見事な（プロヴァンサル語）,"Reve Mistral"
アルター,,牡2,不在,(美)古賀慎明, 0- 0- 0- 0,0,ネオユニヴァース,ロレットチャペル,吉田勝己,ノーザンファーム,安平町,,2012,2月15日,2012104936,,祭壇,Altar
ネコソラ,,牡2,在厩,(美)堀井雅広, 0- 0- 0- 1,0,ジャイアントレッカー,オウバイ,桐谷茂,様似共栄牧場,様似町,,2012,4月4日,2012104973,,ネコ＋空。台湾のロープウェイの駅名より,Nekosora
カグラオー,,牡2,在厩,(美)菅原泰夫, 0- 0- 0- 0,0,バゴ,チャニングガール,長谷川兼美,様似共栄牧場,様似町,,2012,3月23日,2012104980,,神楽王,"Kagura O"
ドライマティーニ,,牡2,不在,(美)勢司和浩, 0- 0- 0- 0,0,エイシンサンディ,タカトモアップ,芹澤精一,清水スタッド,様似町,,2012,4月9日,2012105002,367.5万円,カクテル名,"Dry Martini"
マコトダッソー,,牡2,在厩,(美)水野貴広, 1- 0- 0- 0,400,ダイワメジャー,マコトサンゴ,ディアマント,出口繁夫,様似町,,2012,2月29日,2012105021,,冠名＋突撃（仏）,"Makoto d'Assault"
マコトアルバトロス,,牡2,不在,(美)田中剛, 0- 0- 0- 0,0,タイキシャトル,マコトジョワイユー,ディアマント,出口繁夫,様似町,,2012,3月29日,2012105022,,冠名＋アメリカの水陸両用飛行艇,"Makoto Albatross"
ツーエムカイザー,,牡2,不在,(栗)佐藤正雄, 0- 0- 0- 0,0,ケイムホーム,シャドウダンス,水谷昌晃,中脇一幸,様似町,,2012,5月10日,2012105033,420万円,馬主名より＋皇帝（独）,"Two M Kaiser"
アスタークリスタル,,牡2,不在,(栗)加藤敬二, 0- 0- 0- 0,0,クリストワイニング,クィーンズアフェア,加藤久枝,林時春,様似町,,2012,3月18日,2012105042,,冠名＋クリスタル,"Aster Crystal"
プラチナコード,,牡2,在厩,(栗)加用正, 0- 0- 0- 0,0,ゴールドアリュール,ホワイトメロディー,ヒダカ・ブリーダーズ・ユニオン,岡本牧場,浦河町,,2012,3月26日,2012105157,,白金＋和音。父名、母名より連想,"Platina Chord"
ダイゴキンリュウ,,牡2,不在,(栗)日吉正和, 0- 0- 0- 0,0,プリサイスエンド,プレミアムショール,長谷川光司,小倉牧場,浦河町,,2012,3月24日,2012105160,210万円,冠名＋金竜,"Daigo Kinryu"
カゼノゴトク,,牡2,在厩,(美)畠山吉宏, 0- 0- 0- 0,0,ファルブラヴ,シーサイドスワン,大塚亮一,ガーベラパークスタツド,浦河町,,2012,4月25日,2012105187,420万円,風の如く速く。武田信玄の軍旗「風林火山」より,"Kazeno Gotoku"
ペプチドウォヘッド,,牡2,不在,(栗)吉村圭司, 0- 0- 0- 0,0,キングカメハメハ,ドリームスピカ,沼川一彦,杵臼牧場,浦河町,,2012,2月5日,2012105212,,冠名＋弾頭。核弾頭の様に丈夫で力強い子になるよう願って,"Peptide Warhead"
ベンガル,,牡2,不在,(美)高柳瑞樹, 0- 0- 0- 1,0,バゴ,ドリームワークス,吉田和美,杵臼牧場,浦河町,,2012,4月7日,2012105213,420万円,南アジアの地域,Bengal
ペプチドアルマ,,牡2,不在,(栗)吉村圭司, 0- 0- 0- 0,0,シンボリクリスエス,ペプチドルビー,沼川一彦,杵臼牧場,浦河町,,2012,4月17日,2012105220,,冠名＋チリ・アタカマ砂漠にある宇宙望遠鏡名,"Peptide Alma"
ピンクマン,,牡2,在厩,(栗)池添兼雄, 0- 0- 0- 0,0,ネオユニヴァース,ビシャーラ,福本圭佐,金成吉田牧場,浦河町,,2012,4月4日,2012105240,,桃色（好き）の男,"Pink Man"
マイネルシアトル,谷,牡2,在厩,(栗)中村均, 0- 0- 1- 1,0,アドマイヤムーン,スリーピングインシアトル,サラブレッドクラブ・ラフィアン,笹地牧場,浦河町,,2012,3月5日,2012105276,,冠名＋母名の一部,"Meiner Seattle"
ハヤイガナ,,牡2,在厩,(栗)牧田和弥, 0- 0- 0- 2,0,ヨハネスブルグ,レイクミード,三宅勝俊,信成牧場,浦河町,,2012,2月16日,2012105300,,それ程速いと思っていなかったのに速かったという大阪弁,Hayaigana
