 馬名,Ｃ,性齢,状態,厩舎,着度数,収得賞金,種牡馬,母名,馬主,生産者,生産地,馬記号,生年,誕生日,血統登録番号,取引価格,馬名の意味由来,欧字馬名
エイシンシャルル,,牡2,在厩,(栗)坂口正則, 0- 0- 0- 0,0,マーベラスサンデー,アルカイックレディ,栄進堂,梅田牧場,浦河町,,2012,4月1日,2012105748,,冠名＋シャルル１世（フランク王カール大帝より）,"A Shin Charles"
ナイフエッジ,,牡2,在厩,(美)新開幸一, 0- 0- 0- 0,0,サムライハート,ハナショウブ,河原義宏,桑田フアーム,浦河町,,2012,4月7日,2012105826,,カミソリの様に鋭い山稜,"Knife Edge"
ハイオンザリスト,,牡2,在厩,(美)新開幸一, 0- 0- 0- 0,0,ローエングリン,ミヤビオウカ,田中春美,大成牧場,浦河町,,2012,4月1日,2012105947,105万円,リストの上位にある。上位にいる存在になってほしい,"High on the List"
トミケンブレスク,,牡2,在厩,(美)上原博之, 0- 0- 0- 0,0,ネオユニヴァース,イタリアンオリーブ,冨樫賢二,福岡光夫,浦河町,,2012,4月8日,2012106070,1102.5万円,冠名＋稲妻（チェコ語）,"Tomiken Blesk"
ダッシングブルー,,牡2,在厩,(栗)森秀行, 0- 0- 0- 0,0,ストーミングホーム,ピスタチオ,ブルーマネジメント,川上牧場,新冠町,,2012,5月23日,2012106148,,威勢のいい＋冠名,"Dashing Blue"
カシノツバサ,,牡2,在厩,(美)天間昭一, 0- 0- 0- 0,0,ファルブラヴ,カシノリボン,柏木務,一山育成牧場,青森県,,2012,4月19日,2012109005,451.5万円,冠名＋人名より,"Kashino Tsubasa"
スウォードワン,,牡2,在厩,(美)武藤善則, 0- 0- 0- 0,0,ゼンノロブロイ,スウォードデジタル,千明牧場,千明牧場,浦河町,,2012,5月9日,2012109079,,冠名＋唯一,"Sword One"
ダンツプラチナ,,牡2,不在,(栗)谷潔, 0- 0- 0- 0,0,ダノンゴーゴー,ヴェニーズワルツ,山元哲二,村山光弘,熊本県,,2012,4月1日,2012109166,336万円,冠名＋白金,"Dantsu Platina"
コバシジョウチョウ,,牡2,在厩,(栗)大根田裕, 0- 0- 0- 0,0,ダンツシアトル,アフターミスティー,ロイヤルパーク,吉野政敏,宮崎県,,2012,4月3日,2012109173,140.4万円,人名より＋場長,"Kobashi Jocho"
ウィズレヴェランス,,牡2,不在,(美)堀宣行, 0- 0- 0- 0,0,Henrythenavigator,Glorificamus,シルク,"Sierra Farm",米,(外),2012,3月17日,2012110019,,尊敬の念をもって,"With Reverence(USA)"
コスモレグルス,,牡2,在厩,(美)清水英克, 0- 0- 0- 0,0,"Midnight Lute","On My Last Nerve",岡田繁幸,"Liberation Farm & Brandywine Farm",米,(外),2012,5月4日,2012110022,,冠名＋小さな王、王子（ラテン語）,"Cosmo Regulus(USA)"
グラブザフラッグ,,牡2,在厩,(栗)中竹和也, 0- 0- 0- 0,0,Tapit,Cornelia,前田幸治,"North Hills Co. LTD.",米,(外),2012,4月23日,2012110037,,旗をつかむ,"Grab the Flag(USA)"
シンボリタピット,,牡2,在厩,(美)久保田貴, 0- 0- 0- 0,0,Tapit,"Miss Emma",シンボリ牧場,"Takahiro Wada",米,(外),2012,3月30日,2012110063,,冠名＋父名,"Symboli Tapit(USA)"
オルフィーク,,牝2,在厩,(美)小桧山悟, 0- 0- 0- 1,0,ヴァーミリアン,バディ,加藤徹,本桐牧場,新ひだか町,,2012,4月3日,2012102504,,「うっとりする」の意を持つバラの品種名。血統より連想,Orphic
エスティノーヴァ,,牝2,在厩,(美)成島英春, 0- 0- 0- 0,0,トーセンファントム,アードゥイン,エスティファーム,エスティファーム,日高町,,2012,3月12日,2012101079,,冠名＋新星,"S T Nova"
ダズリングダンサー,,牝2,在厩,(美)小桧山悟, 0- 0- 0- 0,0,ダンスインザダーク,シルクブルームーン,本杉芳郎,メイプルファーム,日高町,,2012,3月11日,2012101969,,非常に明るい＋父名より,"Dazzling Dancer"
レミネンス,,牝2,不在,(美)中野栄治, 0- 0- 0- 1,0,ジャイアントレッカー,セイザンアゲイン,桐谷茂,原フアーム,新ひだか町,,2012,3月30日,2012103423,,追憶する、思い出を語る,Reminisce
スピールダンジュ,,牝2,不在,(栗)目野哲也, 0- 0- 0- 1,0,スウェプトオーヴァーボード,フィーユドノワール,津村圭一,桑田牧場,浦河町,,2012,3月29日,2012105834,,天風（仏）,"Soupir d'Ange"
エールドゥソレイユ,,牝2,不在,(美)的場均, 0- 0- 0- 0,0,トワイニング,ファイヤームーン,林勝宗,レースホース,新ひだか町,,2012,5月26日,2012106341,,神（ヘブライ語）＋太陽（仏）。太陽神,"El de Soleil"
エスティエッキー,,牝2,在厩,(美)成島英春, 0- 0- 0- 0,0,トーセンファントム,トーセンエキコ,エスティファーム,エスティファーム,日高町,,2012,4月6日,2012101091,,冠名＋母名より,"S T Ekky"
グランドデザイン,,牝2,在厩,(栗)村山明, 0- 0- 0- 0,0,パイロ,アーバンクイーン,西村新一郎,田原橋本牧場,新ひだか町,,2012,2月2日,2012103119,,全体構想,"Grand Design"
ボストンヴィーナス,,牝2,不在,(栗)岩元市三, 0- 0- 0- 0,0,ヴィクトリー,ボストンメリー,ボストンホース,吉田牧場,安平町,,2012,5月17日,2012103922,,冠名＋女神,"Boston Venus"
ダイゴサクラ,,牝2,不在,(栗)坂口正則, 0- 0- 0- 0,0,メイショウボーラー,タガノブルードレス,岡田宏二,市川フアーム,浦河町,,2012,4月9日,2012105721,,醍醐桜、岡山県にある桜名,"Daigo Sakura"
ナムラマミー,,牝2,在厩,(栗)目野哲也, 0- 0- 1- 1,0,ディープインパクト,ナムラミーティア,奈村信重,いとう牧場,日高町,,2012,3月29日,2012101058,,冠名＋母,"Namura Mammy"
トーセンマリオン,,牝2,不在,(美)中川公成, 0- 0- 0- 0,0,トーセンブライト,スティールシャーク,島川隆哉,エスティファーム,日高町,,2012,4月18日,2012101085,,冠名＋人名より,"Tosen Marion"
フレンドマキシマム,,牝2,不在,(美)岩戸孝樹, 0- 0- 0- 0,0,スズカマンボ,メジロアダーラ,保谷フミ子,中館牧場,日高町,,2012,4月17日,2012101669,,友達＋冠名,"Friend Maximum"
ガールズライン,,牝2,在厩,(栗)目野哲也, 0- 0- 1- 1,0,ヴァーミリアン,エーシンブランディ,吉永清美,松本牧場,新ひだか町,,2012,2月15日,2012102533,315万円,少女＋線,"Girls Line"
ナムラサラ,,牝2,在厩,(栗)目野哲也, 0- 0- 0- 2,0,カンパニー,ニュートラディション,奈村信重,八田ファーム,新ひだか町,,2012,3月14日,2012103391,,冠名＋人名より,"Namura Sala"
アールブリュット,,牝2,不在,(美)戸田博文, 1- 0- 0- 0,400,Makfi,イグジビットワン,キャロットファーム,ノーザンファーム,安平町,,2012,2月28日,2012104535,,生の芸術（仏）。母名より連想,"Art Brut"
スラリーアイス,,牝2,不在,(美)小桧山悟, 0- 0- 0- 0,0,オレハマッテルゼ,クレスコラブリー,川島吉男,信岡牧場,浦河町,,2012,3月15日,2012105480,,流動性のある氷,"Slurry Ice"
エクシードリミッツ,,牝2,不在,(栗)須貝尚介, 0- 0- 0- 2,0,"Exceed And Excel","Welsh Diva",吉田和美,"Ballymooney Foods Ltd",愛,(外),2012,1月27日,2012110045,,限界を超える,"Exceed Limits(IRE)"
アドバンスクィーン,,牝2,不在,(美)小桧山悟, 0- 0- 0- 0,0,ファルブラヴ,スペシャルウィッチ,アドバンス・サッポロ,競優牧場,新冠町,,2012,4月14日,2012100200,,冠名＋女王,"Advance Queen"
サンクタリリアス,,牝2,不在,(美)田中清隆, 0- 0- 1- 1,0,スウェプトオーヴァーボード,シルクアンフィニ,ミルファーム,ラツキー牧場,新冠町,,2012,3月5日,2012100961,231万円,聖なる百合。絵画名より,"Sancta Lilias"
ペネトレイト,,牝2,在厩,(美)和田雄二, 0- 0- 0- 1,0,ネオユニヴァース,シアトルブリッジ,青山英昭,新井昭二,日高町,,2012,3月11日,2012101029,,バスケットの攻撃手段のひとつ,Penetrate
シゲルヨサコイ,,牝2,不在,(美)伊藤圭三, 0- 0- 0- 0,0,ホワイトマズル,ホホエミ,森中蕃,今井牧場,日高町,,2012,2月28日,2012101068,105万円,冠名＋祭名「よさこい祭（高知）」より,"Shigeru Yosakoi"
スカイルピナス,,牝2,不在,(美)小桧山悟, 0- 0- 0- 0,0,ディープスカイ,トノノオナリー,大久保典義,碧雲牧場,日高町,,2012,5月1日,2012101879,,父名の一部＋冠名,"Sky Lupinus"
ザキス,,牝2,在厩,(美)手塚貴久, 0- 0- 0- 2,0,ロッコウオロシ,ハチノヨウニサス,ミルファーム,前田宗将,新ひだか町,,2012,3月21日,2012102527,,接吻。絵画名より,"The Kiss"
デンバー,,牝2,在厩,(美)星野忍, 0- 0- 0- 2,0,ソングオブウインド,ベルモントナウシカ,桐谷茂,静内坂本牧場,新ひだか町,,2012,4月30日,2012102970,,アメリカの都市名,Denver
トリノレージョ,,牝2,不在,(美)田中剛, 0- 0- 0- 0,0,ディープインパクト,ディーバ,サンデーレーシング,社台コーポレーション白老ファーム,白老町,,2012,2月15日,2012104077,,イタリアのトリノにある歌劇場,"Torino Regio"
シラユキ,,牝2,在厩,(栗)高野友和, 0- 1- 0- 0,0,クロフネ,アドマイヤフッキー,ワタナベホールディングス,ノーザンファーム,安平町,,2012,1月23日,2012104516,2625万円,白い雪。毛色から連想,Shirayuki
シェーンハイト,,牝2,抹消,(美)斎藤誠, 0- 0- 0- 0,0,バゴ,ヴァイスハイト,キャロットファーム,ノーザンファーム,安平町,,2012,4月9日,2012104545,,美（独）。美しい勝ち方をして欲しい願いを込めて。母名より連想,Schonheit
コンフェッシオン,,牝2,不在,(栗)中竹和也, 0- 0- 0- 1,0,ダイワメジャー,ストールンハート,シルク,ノーザンファーム,安平町,,2012,2月7日,2012104684,,告白（仏）。母名より連想,Confession
ヘイジーブロンド,,牝2,在厩,(美)斎藤誠, 0- 0- 0- 1,0,フレンチデピュティ,マッチザピース,サンデーレーシング,ノーザンファーム,安平町,,2012,2月27日,2012104850,,天然の褐色あるいは茶色の髪に金髪が混ざったブロンド,"Hazy Blonde"
ランギ,,牝2,不在,(美)田中清隆, 0- 0- 0- 0,0,ヴァーミリアン,レディマハロ,ミルファーム,駿河牧場,浦河町,,2012,4月2日,2012105308,262.5万円,空（マオリ語）,Rangi
カナラズカナラズ,,牝2,在厩,(美)粕谷昌央, 0- 0- 0- 1,0,ジャングルポケット,ニンナナンナ,小田切有一,日の出牧場,浦河町,,2012,4月7日,2012105496,,必ず必ず,"Kanarazu Kanarazu"
